"scc","sector","dr","region"
2.7252597509084233,energy,"2.5%",globe
6.997161021547851,energy,"2.5%",globe
6.8469860928057695,energy,"2.5%",globe
6.228648413471894,energy,"2.5%",globe
1.9419957850072265,energy,"2.5%",globe
4.7300315826734725,energy,"2.5%",globe
5.710195005518498,energy,"2.5%",globe
2.2692253800222373,energy,"2.5%",globe
3.37549903997481,energy,"2.5%",globe
8.299572448797505,energy,"2.5%",globe
31.560463519470744,total,"3.0%",globe
144.71303687442312,total,"3.0%",globe
66.55802370611634,total,"3.0%",globe
135.6749888203612,total,"3.0%",globe
21.832522021979138,total,"3.0%",globe
99.68828078377231,total,"3.0%",globe
108.62576877399408,total,"3.0%",globe
9.35466511793153,total,"3.0%",globe
27.43770394920065,total,"3.0%",globe
219.60206263165574,total,"3.0%",globe
1.9608166912401144,energy,"3.0%",globe
4.602063637900175,energy,"3.0%",globe
4.124908678403555,energy,"3.0%",globe
4.060082706931428,energy,"3.0%",globe
1.2634080186741856,energy,"3.0%",globe
3.111262302165473,energy,"3.0%",globe
3.980893447147241,energy,"3.0%",globe
1.3541131187169524,energy,"3.0%",globe
2.2474871441090754,energy,"3.0%",globe
6.30349994420106,energy,"3.0%",globe
0.0,smoke,"2.0%",domestic
0.0,smoke,"2.0%",domestic
0.0,smoke,"2.0%",domestic
0.0,smoke,"2.0%",domestic
0.0,smoke,"2.0%",domestic
0.0,smoke,"2.0%",domestic
0.0,smoke,"2.0%",domestic
0.0,smoke,"2.0%",domestic
0.0,smoke,"2.0%",domestic
0.0,smoke,"2.0%",domestic
0.16441137217797427,slr,"3.0%",domestic
0.3108519459196298,slr,"3.0%",domestic
0.11546810875565781,slr,"3.0%",domestic
0.1325103111103547,slr,"3.0%",domestic
0.05406625790343464,slr,"3.0%",domestic
0.12167658180858969,slr,"3.0%",domestic
0.2475991665218634,slr,"3.0%",domestic
0.03325966911785129,slr,"3.0%",domestic
0.03223815659454122,slr,"3.0%",domestic
0.5683283565704116,slr,"3.0%",domestic
0.4987742636044792,slr,"1.5%",domestic
1.1801689187351698,slr,"1.5%",domestic
0.46927975151032997,slr,"1.5%",domestic
0.46772961932225726,slr,"1.5%",domestic
0.23431812365765411,slr,"1.5%",domestic
0.5869185512684405,slr,"1.5%",domestic
0.7136202142473663,slr,"1.5%",domestic
0.14029962174743815,slr,"1.5%",domestic
0.1111092071748559,slr,"1.5%",domestic
1.1280592284521178,slr,"1.5%",domestic
13.330979743624244,cromar_mortality,"2.0%",domestic
21.91883227341406,cromar_mortality,"2.0%",domestic
2.7523844440261307,cromar_mortality,"2.0%",domestic
1.5343890525869277,cromar_mortality,"2.0%",domestic
4.853165538692649,cromar_mortality,"2.0%",domestic
20.06336662172667,cromar_mortality,"2.0%",domestic
11.53392227043752,cromar_mortality,"2.0%",domestic
0.9922422712171607,cromar_mortality,"2.0%",domestic
9.758484073113781,cromar_mortality,"2.0%",domestic
7.118204938994685,cromar_mortality,"2.0%",domestic
0.0,smoke,"3.0%",domestic
0.0,smoke,"3.0%",domestic
0.0,smoke,"3.0%",domestic
0.0,smoke,"3.0%",domestic
0.0,smoke,"3.0%",domestic
0.0,smoke,"3.0%",domestic
0.0,smoke,"3.0%",domestic
0.0,smoke,"3.0%",domestic
0.0,smoke,"3.0%",domestic
0.0,smoke,"3.0%",domestic
13.98950813763362,total,"2.0%",domestic
23.366118323503997,total,"2.0%",domestic
2.898711727524544,total,"2.0%",domestic
4.693122631021608,total,"2.0%",domestic
5.005367646345001,total,"2.0%",domestic
22.076061791896585,total,"2.0%",domestic
13.035764815455535,total,"2.0%",domestic
1.1083337722656637,total,"2.0%",domestic
9.760679765499368,total,"2.0%",domestic
9.101055085715489,total,"2.0%",domestic
-14.92372478694028,agriculture,"2.0%",globe
148.41928110624647,agriculture,"2.0%",globe
85.66256071094442,agriculture,"2.0%",globe
247.34769457479106,agriculture,"2.0%",globe
20.063146280699634,agriculture,"2.0%",globe
132.10311014984498,agriculture,"2.0%",globe
121.0028776264497,agriculture,"2.0%",globe
-5.475186159164746,agriculture,"2.0%",globe
6.832347969632146,agriculture,"2.0%",globe
224.09843571057843,agriculture,"2.0%",globe
3.9739494279883387,energy,"2.0%",globe
11.271092568848275,energy,"2.0%",globe
11.724345927289539,energy,"2.0%",globe
9.727792789933533,energy,"2.0%",globe
